NO,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROI
907,ACE G2전기차&자율주행액티브,8780,하락20,-0.23%,0,825,9400,0.14,4665,N/A,N/A
908,DSR제강,5710,하락100,-1.72%,500,822,14400,4.55,29218,2.84,17.17
909,KODEX 바이오,8355,하락115,-1.36%,0,822,9840,0.23,107337,N/A,N/A
910,서울식품,218,하락2,-0.91%,100,817,374756,2.48,1036192,109.00,2.49
911,써니전자,2330,하락5,-0.21%,500,812,34845,7.02,52615,16.07,7.12
912,삼화왕관,37550,상승900,+2.46%,5000,809,2154,4.05,1063,-4.70,-13.08
913,한세엠케이,2685,상승65,+2.48%,500,808,30107,0.51,15727,-1.53,-88.24
914,화승알앤에이,4245,하락95,-2.19%,500,806,18994,2.14,28283,6.35,15.85
915,KBSTAR 단기국공채액티브,105055,상승5,0.00%,0,804,765,0.00,2472,N/A,N/A
916,태평양물산,1647,하락12,-0.72%,500,801,48636,3.18,55606,3.17,13.73
917,태양금속,2175,상승95,+4.57%,500,798,36700,3.91,390329,-135.94,-0.62
918,천일고속,55800,상승500,+0.90%,5000,798,1429,0.04,86,-13.28,-19.21
919,남성,2190,하락20,-0.90%,500,793,36212,1.87,24137,24.89,2.67
920,NH프라임리츠,4245,하락40,-0.93%,500,792,18660,0.25,303,10.77,7.59
921,티웨이홀딩스,723,상승21,+2.99%,500,791,109472,1.03,768064,1.49,48.59
922,부산산업,74800,하락200,-0.27%,5000,790,1056,2.74,481,30.52,4.56
923,대유에이텍,679,0,0.00%,500,787,115933,1.62,42069,-1.38,-55.60
924,엔케이,982,상승22,+2.29%,500,785,79983,2.88,201942,7.33,9.85
925,영흥,769,하락4,-0.52%,500,779,101310,0.60,13889,-256.33,-0.20
926,호전실업,7920,하락80,-1.00%,500,772,9750,1.93,15084,2.84,21.24
927,TIGER 소프트웨어,9105,하락55,-0.60%,0,772,8480,0.05,23607,N/A,N/A
928,인터지스,2595,하락20,-0.76%,500,772,29748,3.03,16456,2.50,13.56
929,유성기업,2975,하락25,-0.83%,500,772,25948,11.08,4905,4.06,6.72
930,ARIRANG 신흥국MSCI(합성 H),9100,하락40,-0.44%,0,772,8480,0.08,4401,N/A,N/A
931,문배철강,3755,하락60,-1.57%,500,770,20504,2.75,66789,2.94,16.87
932,오리엔트바이오,645,하락6,-0.92%,500,765,118583,1.20,86746,4.27,51.92
933,시디즈,38150,하락150,-0.39%,500,763,2000,1.16,490,29.99,N/A
934,비상교육,5870,상승10,+0.17%,500,763,12997,5.43,2435,-75.26,-0.51
935,SK케미칼우,36050,하락500,-1.37%,5000,763,2115,16.31,688,3.70,N/A
936,한익스프레스,6320,상승120,+1.94%,500,758,12000,2.60,51385,10.90,8.01
937,덕성,4835,하락20,-0.41%,500,758,15680,2.57,17969,32.89,2.99
938,신세계건설,18790,하락140,-0.74%,5000,752,4000,6.36,1912,-5.29,-5.58
939,세원정공,7510,하락30,-0.40%,500,751,10000,14.35,1577,-41.26,-2.52
