NO,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROI
180,동원시스템즈,"51,000","하락1,300",-2.49%,"5,000","14,786","28,991",13.30,"54,561",20.71,10.40
181,효성,"68,700",0,0.00%,"5,000","14,476","21,071",5.37,"9,248",92.46,0.60
182,현대엘리베이,"34,350",0,0.00%,"5,000","14,020","40,815",29.30,"36,368",17.89,6.89
183,후성,"14,770",하락120,-0.81%,500,"13,936","94,352",2.81,"551,838",14.11,31.60
184,TIGER 2차전지테마,"32,755",하락215,-0.65%,0,"13,479","41,150",0.94,"494,469",N/A,N/A
185,SK케미칼,"77,000",하락600,-0.77%,"5,000","13,285","17,254",14.79,"7,615",7.91,9.11
186,KG스틸,"13,270",하락170,-1.26%,"5,000","13,271","100,009",2.82,"4,951,329",2.48,37.73
187,DL이앤씨,"34,050",상승100,+0.29%,"5,000","13,175","38,694",22.97,"34,451",3.54,9.70
188,금호타이어,"4,490",하락5,-0.11%,"5,000","12,898","287,260",4.39,"104,787",-16.33,-6.87
189,이수화학,"45,850","상승3,350",+7.88%,"5,000","12,819","27,960",3.76,"2,530,166",46.22,9.41
190,삼아알미늄,"86,600","하락2,400",-2.70%,500,"12,741","14,712",36.52,"75,891",55.37,13.24
191,풍산,"45,300",상승200,+0.44%,"5,000","12,695","28,024",15.36,"551,454",7.25,9.94
192,KODEX 삼성그룹,"9,405",하락5,-0.05%,0,"12,650","134,500",0.14,"11,050",N/A,N/A
193,대웅제약,"109,100",하락400,-0.37%,"2,500","12,641","11,587",7.76,"4,516",29.92,7.17
194,동국제강,"13,080",하락130,-0.98%,"5,000","12,483","95,433",25.53,"113,180",3.02,14.21
195,코오롱인더,"45,350",0,0.00%,"5,000","12,480","27,519",18.74,"14,896",7.64,7.13
196,KBSTAR 200,"34,030",하락55,-0.16%,0,"12,472","36,650",0.01,"19,884",N/A,N/A
197,GKL,"20,150",0,0.00%,500,"12,464","61,856",6.29,"24,013",-54.76,-5.94
198,LX인터내셔널,"32,100",상승350,+1.10%,"5,000","12,442","38,760",28.92,"155,414",2.41,25.53
199,현대백화점,"53,000",하락200,-0.38%,"5,000","12,403","23,402",22.65,"8,580",8.61,3.20
200,KODEX 단기채권PLUS,"106,405",상승20,+0.02%,0,"12,370","11,625",0.00,"41,798",N/A,N/A
201,아이에스동서,"39,850",하락700,-1.73%,500,"12,311","30,893",3.89,"64,015",6.29,14.84
202,KBSTAR 종합채권(A-이상)액티브,"97,820",하락155,-0.16%,0,"12,125","12,395",0.00,4,N/A,N/A
203,한국앤컴퍼니,"12,650",하락60,-0.47%,500,"12,009","94,935",9.06,"11,728",7.23,4.37
204,제주항공,"15,420",상승270,+1.78%,"1,000","11,872","76,994",3.76,"183,201",-5.48,-70.86
205,DGB금융지주,"6,990",하락30,-0.43%,"5,000","11,823","169,146",44.25,"112,173",2.94,7.38
206,KODEX 2차전지산업,"31,810",하락125,-0.39%,0,"11,674","36,700",0.69,"563,594",N/A,N/A
207,SK네트웍스,"4,835",0,0.00%,"2,500","11,400","235,778",9.21,"177,103",13.89,3.88
208,한샘,"48,050",하락50,-0.10%,"1,000","11,308","23,534",13.12,"2,673",-15.85,-13.37
209,SK오션플랜트,"21,200",하락600,-2.75%,500,"11,286","53,235",5.85,"122,412",40.46,6.73
210,KODEX Top5PlusTR,"16,360",하락15,-0.09%,0,"11,207","68,500",12.41,923,N/A,N/A
211,영풍,"608,000","하락8,000",-1.30%,"5,000","11,200","1,842",5.74,"1,048",3.05,9.96
212,HD현대건설기계,"56,700",하락200,-0.35%,"5,000","11,170","19,701",24.83,"6,037",10.02,7.99
213,한올바이오파마,"21,350",하락300,-1.39%,500,"11,153","52,241",6.10,"136,555","4,270.00",0.15
214,일진하이솔루스,"30,700",하락200,-0.65%,500,"11,148","36,313",2.03,"16,531",158.25,2.27
215,TCC스틸,"42,850","하락1,850",-4.14%,"1,000","11,128","25,969",2.26,"315,187",35.12,16.54
216,대덕전자,"22,400",하락400,-1.75%,500,"11,069","49,417",13.96,"106,044",6.27,23.94
217,SK가스,"119,800","하락1,200",-0.99%,"5,000","11,058","9,230",5.24,428,4.30,11.53
218,DL,"52,400",하락100,-0.19%,"5,000","10,981","20,956",11.46,"6,185",19.55,1.52
219,솔루엠,"21,950",상승150,+0.69%,500,"10,976","50,006",13.05,"55,930",23.20,16.93
220,종근당,"84,700",하락800,-0.94%,"2,500","10,645","12,568",8.29,"4,466",13.15,13.62
221,TIGER TOP10,"11,070",하락40,-0.36%,0,"10,638","96,100",12.18,"8,359",N/A,N/A
222,코리안리,"7,530",상승50,+0.67%,500,"10,604","140,823",29.74,"9,944",6.72,5.91
223,더존비즈온,"34,650",하락250,-0.72%,500,"10,528","30,383",19.02,"28,149",45.77,5.15
224,오리온홀딩스,"16,770",하락160,-0.95%,500,"10,506","62,645",6.84,"14,222",10.20,4.83
225,명신산업,"19,940",하락660,-3.20%,500,"10,463","52,470",4.87,"410,734",12.20,25.18
226,대한유화,"159,800","하락1,200",-0.75%,"5,000","10,387","6,500",6.04,"6,834",-6.97,-7.66
227,롯데웰푸드,"108,800","상승1,300",+1.21%,500,"10,265","9,435",13.24,"5,078",18.34,2.89
228,아시아나항공,"13,720",상승410,+3.08%,"5,000","10,209","74,412",7.40,"279,664",9.25,18.48
229,PI첨단소재,"34,500",하락250,-0.72%,500,"10,131","29,366",5.98,"20,068",22.16,13.70
230,율촌화학,"40,800",하락700,-1.69%,500,"10,118","24,800",8.83,"19,426",-244.31,-1.22
231,신풍제약,"19,040",하락290,-1.50%,500,"10,088","52,985",5.73,"77,846",-29.70,-10.27
232,한국콜마,"43,900",하락900,-2.01%,500,"10,045","22,881",26.81,"32,511",-45.68,-3.26
233,NHN,"27,650",상승150,+0.55%,500,"9,959","36,017",13.13,"3,231",-31.82,-1.82
234,TIGER 단기통안채,"103,195",상승30,+0.03%,0,"9,928","9,621",1.47,"42,095",N/A,N/A
235,SK리츠,"5,020",상승10,+0.20%,500,"9,867","196,554",6.10,"16,816",264.21,0.43
236,롯데렌탈,"26,650",하락50,-0.19%,"5,000","9,763","36,634",3.57,"8,040",10.34,7.48
237,F&F홀딩스,"24,550",하락300,-1.21%,500,"9,603","39,114",0.52,"20,652",7.26,6.64
238,코스맥스,"84,600","하락1,100",-1.28%,500,"9,602","11,350",25.65,"22,378",46.05,3.65
239,TKG휴켐스,"23,300",하락50,-0.21%,"1,000","9,525","40,879",6.61,"32,120",11.64,11.37
240,하나투어,"58,200",하락300,-0.51%,500,"9,335","16,039",6.91,"14,379",-13.32,-64.01
241,다우기술,"20,700",하락150,-0.72%,500,"9,287","44,867",24.20,"12,469",2.49,17.36
242,진에어,"17,360",상승210,+1.22%,"1,000","9,062","52,200",2.34,"148,884",-18.33,-35.07
243,세아베스틸지주,"25,150",상승100,+0.40%,"5,000","9,019","35,862",11.42,"34,958",9.91,4.91
244,KODEX 코스닥150선물인버스,"3,975",상승60,+1.53%,0,"8,999","226,400",1.69,"23,763,523",N/A,N/A
245,세방,"46,600",하락550,-1.17%,500,"8,998","19,309",12.26,"22,636",10.17,11.12
246,롯데리츠,"3,690",하락5,-0.14%,500,"8,966","242,969",9.86,"16,457",63.62,1.25
247,한일시멘트,"12,860",상승50,+0.39%,500,"8,907","69,262",2.46,"7,575",11.30,5.59
248,삼양식품,"118,200","하락1,200",-1.01%,"5,000","8,904","7,533",9.27,"3,799",11.16,18.92
249,KODEX 인버스,"4,575",상승10,+0.22%,0,"8,876","194,000",2.83,"5,163,503",N/A,N/A
250,KODEX 코스닥150레버리지,"11,540",하락360,-3.03%,0,"8,805","76,300",1.59,"3,714,604",N/A,N/A
251,롯데관광개발,"11,930",하락180,-1.49%,500,"8,800","73,763",4.89,"139,273",-3.80,-154.22
252,대웅,"15,020",하락230,-1.51%,500,"8,733","58,142",5.20,"16,175",8.51,13.17
253,영원무역홀딩스,"63,900",하락500,-0.78%,500,"8,713","13,636",18.39,824,1.98,23.98
254,제이알글로벌리츠,"4,405",하락15,-0.34%,"1,000","8,694","197,376",9.87,"37,778",46.37,2.04
255,애경케미칼,"17,860","하락1,040",-5.50%,500,"8,689","48,649",1.15,"297,610",14.45,8.47
256,LG전자우,"50,400",상승450,+0.90%,"5,000","8,662","17,186",40.08,"14,039",7.62,N/A
257,더블유게임즈,"47,000",상승200,+0.43%,500,"8,636","18,375",12.11,"4,686",-6.53,-16.82
258,이엔플러스,"13,920",하락650,-4.46%,500,"8,434","60,591",0.69,"2,300,872",-21.75,-53.00
259,넥센타이어,"8,610",하락170,-1.94%,500,"8,409","97,668",4.97,"9,673",-32.25,-1.74
