0,1,2,3,4,5,6,7,8,9,10,11
154,효성티앤씨,"433,500",하락500,-0.12%,"5,000","18,760","4,328",8.44,"28,636",161.87,0.88
155,TIGER 미국S&P500,"13,745",상승100,+0.73%,0,"18,563","135,050",1.36,"1,116,771",N/A,N/A
156,GS건설,"21,650",하락300,-1.37%,"5,000","18,528","85,581",24.82,"674,053",5.46,7.18
157,현대일렉트릭,"50,700",상승700,+1.40%,"5,000","18,276","36,047",16.52,"369,677",11.25,22.13
158,CJ대한통운,"80,100",상승200,+0.25%,"5,000","18,273","22,812",16.30,"44,538",10.06,5.09
159,오뚜기,"450,500","상승3,000",+0.67%,"5,000","18,055","4,008",11.37,"3,420",6.16,16.53
160,현대두산인프라코어,"9,110",하락270,-2.88%,"1,000","18,016","197,763",15.41,"3,315,343",7.83,15.29
161,대우건설,"4,185",하락50,-1.18%,"5,000","17,394","415,623",11.79,"1,488,603",3.45,14.55
162,JB금융지주,"8,800",상승170,+1.97%,"5,000","17,334","196,983",33.18,"540,797",2.88,13.76
163,LIG넥스원,"77,700",상승800,+1.04%,"5,000","17,094","22,000",13.06,"410,430",13.90,14.48
164,LX세미콘,"103,400","상승1,200",+1.17%,500,"16,817","16,264",26.95,"190,619",7.20,26.70
165,현대위아,"61,700","하락2,300",-3.59%,"5,000","16,779","27,195",8.47,"492,237",25.65,1.99
166,한전KPS,"36,700","하락1,950",-5.05%,200,"16,515","45,000",7.93,"319,927",16.49,8.61
167,KG모빌리티,"8,760",0,0.00%,"5,000","16,377","186,956",24.60,0,-8.18,-12.10
168,두산,"98,900","하락2,400",-2.37%,"5,000","16,342","16,524",8.05,"72,203",-3.04,-36.00
169,덴티움,"147,000","상승1,200",+0.82%,500,"16,271","11,069",24.05,"67,357",18.90,25.86
170,TIGER 미국테크TOP10 INDXX,"11,000",상승10,+0.09%,0,"15,846","144,050",0.28,"497,349",N/A,N/A
171,동원시스템즈,"54,200","하락1,500",-2.69%,"5,000","15,713","28,991",13.26,"389,869",22.01,10.40
172,녹십자,"134,200",하락400,-0.30%,"5,000","15,683","11,687",21.72,"35,108",23.96,5.03
173,솔루스첨단소재,"44,600","하락1,050",-2.30%,100,"15,660","35,111",6.17,"200,938",-172.20,-2.68
174,TIGER 미국필라델피아반도체나스닥,"10,825",상승20,+0.19%,0,"15,523","143,400",0.44,"614,055",N/A,N/A
175,하이트진로,"21,900",하락50,-0.23%,"5,000","15,359","70,134",10.00,"332,793",17.94,7.72
176,KODEX 23-12 은행채(AA+이상)액티브,"10,275",상승5,+0.05%,0,"15,268","148,590",0.00,"48,760",N/A,N/A
177,TIGER MSCI Korea TR,"14,260",상승40,+0.28%,0,"15,201","106,600",0.01,"85,928",N/A,N/A
178,롯데정밀화학,"58,800",0,0.00%,"5,000","15,170","25,800",20.91,"63,409",10.38,6.51
179,에스엘,"32,350",하락50,-0.15%,500,"15,026","46,449",12.89,"453,869",9.83,9.87
180,롯데칠성,"159,400",하락200,-0.13%,500,"14,791","9,279",12.03,"30,291",12.48,9.11
181,효성,"68,200",상승200,+0.29%,"5,000","14,370","21,071",5.28,"47,467",91.79,0.60
182,후성,"14,920",상승30,+0.20%,500,"14,077","94,352",2.62,"8,024,401",14.25,31.60
183,현대엘리베이,"33,600",하락450,-1.32%,"5,000","13,714","40,815",28.87,"346,639",17.50,6.89
184,삼아알미늄,"92,200","하락1,600",-1.71%,500,"13,564","14,712",36.93,"350,794",58.95,13.24
185,SK케미칼,"78,200",하락500,-0.64%,"5,000","13,492","17,254",14.68,"79,369",8.03,9.11
186,TIGER 2차전지테마,"32,715",상승335,+1.03%,0,"13,168","40,250",0.40,"2,921,854",N/A,N/A
187,DL이앤씨,"34,000",상승200,+0.59%,"5,000","13,156","38,694",23.00,"203,973",3.53,9.70
188,금호타이어,"4,520",하락180,-3.83%,"5,000","12,984","287,260",4.46,"1,151,857",-16.44,-6.87
189,대웅제약,"110,700",상승400,+0.36%,"2,500","12,826","11,587",7.83,"41,263",30.36,7.17
190,KODEX 삼성그룹,"9,430",상승5,+0.05%,0,"12,721","134,900",0.14,"109,897",N/A,N/A
191,KBSTAR 200,"34,055",하락65,-0.19%,0,"12,583","36,950",0.01,"121,110",N/A,N/A
192,아이에스동서,"40,450",하락650,-1.58%,500,"12,496","30,893",3.93,"193,440",6.39,14.84
193,코오롱인더,"45,250",하락150,-0.33%,"5,000","12,452","27,519",18.83,"201,091",7.62,7.13
194,GKL,"20,100",상승600,+3.08%,500,"12,433","61,856",6.11,"542,904",-54.62,-5.94
195,KODEX 단기채권PLUS,"106,375",0,0.00%,0,"12,366","11,625",0.00,"96,011",N/A,N/A
196,동국제강,"12,950",하락270,-2.04%,"5,000","12,359","95,433",25.50,"766,371",2.99,14.21
